EL1R EL1W EL0R EL0W KRN/USR (HPD/HPD) APRR
[rw-/---] rw-/--- (rw-/--x) rw-/---
[rw-/--x] rwx/rwx (rw-/--x) rw-/rwx
[rw-/---] rwx/rw- (rw-/--x) rw-/rw-
[rw-/--x] rw-/rwx (rw-/--x) rw-/rwx
[rw-/---] rw-/rw- (rw-/--x) rw-/rw-
[r--/--x] r-x/--x (rw-/--x) r-x/--x
[r--/---] r-x/--- (rw-/--x) r-x/---
[r--/--x] r--/--x (rw-/--x) r--/--x
[r--/---] r--/--- (rw-/--x) r--/---
[r--/--x] r-x/r-x (rw-/--x) r-x/r-x
[r--/---] r-x/r-- (rw-/--x) r-x/r--
[r--/--x] r--/r-x (rw-/--x) r--/r-x
[r--/---] r--/r-- (rw-/--x) r--/r--
[rw-/---] rwx/--x (rw-/---) rwx/--x
[rw-/---] rwx/--- (rw-/---) rwx/---
[rw-/---] rw-/--x (rw-/---) rw-/--x
[rw-/---] rw-/--- (rw-/---) rw-/---
[rw-/---] rwx/rwx (rw-/---) rw-/rwx
[rw-/---] rwx/rw- (rw-/---) rw-/rw-
[rw-/---] rw-/rwx (rw-/---) rw-/rwx
[rw-/---] rw-/rw- (rw-/---) rw-/rw-
[r--/---] r-x/--x (rw-/---) r-x/--x
[r--/---] r-x/--- (rw-/---) r-x/---
[r--/---] r--/--x (rw-/---) r--/--x
[r--/---] r--/--- (rw-/---) r--/---
[r--/---] r-x/r-x (rw-/---) r-x/r-x
[r--/---] r-x/r-- (rw-/---) r-x/r--
[r--/---] r--/r-x (rw-/---) r--/r-x
[r--/---] r--/r-- (rw-/---) r--/r--
[r-x/--x] rwx/--x (r-x/r-x) rwx/--x
[r-x/---] rwx/--- (r-x/r-x) rwx/---
[r--/--x] rw-/--x (r-x/r-x) rw-/--x
[r--/---] rw-/--- (r-x/r-x) rw-/---
[r-x/r-x] rwx/rwx (r-x/r-x) rw-/rwx
[r-x/r--] rwx/rw- (r-x/r-x) rw-/rw-
[r--/r-x] rw-/rwx (r-x/r-x) rw-/rwx
[r--/r--] rw-/rw- (r-x/r-x) rw-/rw-
[r-x/--x] r-x/--x (r-x/r-x) r-x/--x
[r-x/---] r-x/--- (r-x/r-x) r-x/---
[r--/--x] r--/--x (r-x/r-x) r--/--x
[r--/---] r--/--- (r-x/r-x) r--/---
[r-x/r-x] r-x/r-x (r-x/r-x) r-x/r-x
[r-x/r--] r-x/r-- (r-x/r-x) r-x/r--
[r--/r-x] r--/r-x (r-x/r-x) r--/r-x
[r--/r--] r--/r-- (r-x/r-x) r--/r--
[r-x/---] rwx/--x (r-x/r--) rwx/--x
[r-x/---] rwx/--- (r-x/r--) rwx/---
[r--/---] rw-/--x (r-x/r--) rw-/--x
[r--/---] rw-/--- (r-x/r--) rw-/---
[r-x/r--] rwx/rwx (r-x/r--) rw-/rwx
[r-x/r--] rwx/rw- (r-x/r--) rw-/rw-
[r--/r--] rw-/rwx (r-x/r--) rw-/rwx
[r--/r--] rw-/rw- (r-x/r--) rw-/rw-
[r-x/---] r-x/--x (r-x/r--) r-x/--x
[r-x/---] r-x/--- (r-x/r--) r-x/---
[r--/---] r--/--x (r-x/r--) r--/--x
